index,logic_type,logic_subtype,logic_type_code,Premise,Hypothesis,Label
47,First Order Logic,Universal Instantiation,F2,All trees are plants.. The oak tree in my front yard is a tree.,The oak tree in my front yard is not a plant.,False
48,First Order Logic,Universal Instantiation,F2,All planets in our solar system have moons.. Mercury is a planet in our solar system.,Mercury does not have a moon.,False
49,First Order Logic,Universal Instantiation,F2,All gas stations sell gasoline.. The Shell station on the corner sells gasoline.,The Shell station on the corner does not sell gasoline.,False
50,First Order Logic,Universal Instantiation,F2,All insects have six legs.. A grasshopper is an insect.,A grasshopper does not have six legs.,False
51,First Order Logic,Universal Instantiation,F2,All countries have flags.. The United States is a country.,The United States does not have a flag.,False
52,First Order Logic,Universal Instantiation,F2,All buildings have windows.. The Empire State Building has windows.,The Empire State Building does not have windows.,False
53,First Order Logic,Universal Instantiation,F2,All members of the House of Representatives are elected.. Nancy Pelosi is a member of the House of Representatives.,Nancy Pelosi was not elected.,False
54,First Order Logic,Universal Instantiation,F2,All members of the Senate are elected.. Ted Cruz is a member of the Senate.,Ted Cruz was not elected.,False
55,First Order Logic,Universal Instantiation,F2,All members of the House of Representatives are elected.. Barbara Lee is a member of the House of Representatives.,Barbara Lee was not elected.,False
56,First Order Logic,Universal Instantiation,F2,All members of the Senate are elected.. Kamala Harris is a member of the Senate.,Kamala Harris was not elected.,False
57,First Order Logic,Universal Instantiation,F2,All members of Congress are elected.. Diane Feinstein is a member of Congress.,Diane Feinstein was not elected.,False
58,First Order Logic,Universal Instantiation,F2,All members of the House of Representatives are elected.. Maxine Waters is a member of the House of Representatives.,Maxine Waters was not elected.,False
59,First Order Logic,Universal Instantiation,F2,All members of the Senate are elected.. Chuck Schumer is a member of the Senate.,Chuck Schumer was not elected.,False
60,First Order Logic,Universal Instantiation,F2,All members of the House of Representatives are elected.. Alexandria Ocasio-Cortez is a member of the House of Representatives.,Alexandria Ocasio-Cortez was not elected.,False
61,First Order Logic,Universal Instantiation,F2,All members of the Senate are elected.. Bernie Sanders is a member of the Senate.,Bernie Sanders was not elected.,False
62,First Order Logic,Universal Instantiation,F2,All mothers are women.. Lily is a mother.,Lily is a woman.,True
63,First Order Logic,Universal Instantiation,F2,All fathers are men.. John is a father.,John is a man.,True
64,First Order Logic,Universal Instantiation,F2,All dogs are animals.. Max is a dog.,Max is an animal.,True
65,First Order Logic,Universal Instantiation,F2,All cats are animals.. Patches is a cat.,Patches is an animal.,True
66,First Order Logic,Universal Instantiation,F2,All birds are animals.. Tweety is a bird.,Tweety is an animal.,True
67,First Order Logic,Universal Instantiation,F2,All trees are plants.. Oak is a tree.,Oak is a plant.,True
68,First Order Logic,Universal Instantiation,F2,All flowers are plants.. Rose is a flower.,Rose is a plant.,True
69,First Order Logic,Universal Instantiation,F2,All cars are vehicles.. Honda is a car.,Honda is a vehicle.,True
70,First Order Logic,Universal Instantiation,F2,All boats are vehicles.. Titanic is a boat.,Titanic is a vehicle.,True
71,First Order Logic,Universal Instantiation,F2,All planets are celestial bodies.. Mars is a planet.,Mars is a celestial body.,True
72,First Order Logic,Universal Instantiation,F2,All stars are celestial bodies.. Sun is a star.,Sun is a celestial body.,True
73,First Order Logic,Universal Instantiation,F2,All humans are mammals.. Mike is a human.,Mike is a mammal.,True
74,First Order Logic,Universal Instantiation,F2,All monkeys are mammals.. George is a monkey.,George is a mammal.,True
75,First Order Logic,Universal Instantiation,F2,All cows are mammals.. Bessie is a cow.,Bessie is a mammal.,True
76,First Order Logic,Universal Instantiation,F2,All mice are rodents.. Jerry is a mouse.,Jerry is a rodent.,True
77,First Order Logic,Universal Instantiation,F2,All rats are rodents.. Pete is a rat.,Pete is a rodent.,True
78,First Order Logic,Universal Instantiation,F2,All computer programmers are nerds.. Bill Gates is a computer programmer.,Bill Gates is a nerd.,True
79,First Order Logic,Universal Instantiation,F2,All chess champions are nerds.. Bobby Fischer is a chess champion.,Bobby Fischer is a nerd.,True
80,First Order Logic,Universal Instantiation,F2,All math geniuses are nerds.. Einstein is a math genius.,Einstein is a nerd.,True
81,First Order Logic,Universal Instantiation,F2,All dogs are mammals.. Rover is a dog.,Rover is a mammal.,True
82,First Order Logic,Universal Instantiation,F2,All cats are animals.. Fluffy is a cat.,Fluffy is an animal.,True
83,First Order Logic,Universal Instantiation,F2,All birds are animals.. Buddy is a bird.,Buddy is an animal.,True
84,First Order Logic,Universal Instantiation,F2,All trees are plants.. Birch is a tree.,Birch is a plant.,True
85,First Order Logic,Universal Instantiation,F2,All flowers are plants.. Daisy is a flower.,Daisy is a plant.,True
86,First Order Logic,Universal Instantiation,F2,All humans are mammals.. Sue is a human.,Sue is a mammal.,True
87,First Order Logic,Universal Instantiation,F2,All computer programmers are nerds.. Linus Torvalds is a computer programmer.,Linus Torvalds is a nerd.,True
88,First Order Logic,Universal Instantiation,F2,All math geniuses are nerds.. John von Neumann is a math genius.,John von Neumann is a nerd.,True
89,First Order Logic,Universal Instantiation,F2,All mothers are women.. Lily is a mother.,Lily is not a woman.,False
90,First Order Logic,Universal Instantiation,F2,All dogs are animals.. Lassie is a dog.,Lassie is not an animal.,False
91,First Order Logic,Universal Instantiation,F2,All cats are animals.. Lily is a cat.,Lily is not an animal.,False
92,First Order Logic,Universal Instantiation,F2,All trees are plants.. The oak tree is a tree.,The oak tree is not a plant.,False
93,First Order Logic,Universal Instantiation,F2,All cars are vehicles.. The Corvette is a car.,The Corvette is not a vehicle.,False
94,First Order Logic,Universal Instantiation,F2,All planes are aircraft.. The Boeing 747 is a plane.,The Boeing 747 is not an aircraft.,False
95,First Order Logic,Universal Instantiation,F2,All boats are watercraft.. The Titanic is a boat.,The Titanic is not a watercraft.,False
96,First Order Logic,Universal Instantiation,F2,All buildings are structures.. The Empire State Building is a building.,The Empire State Building is not a structure.,False
97,First Order Logic,Universal Instantiation,F2,All furniture is made of wood.. The sofa is furniture.,The sofa is not made of wood.,False
98,First Order Logic,Universal Instantiation,F2,All animals are alive.. The dog is an animal.,The dog is not alive.,False
99,First Order Logic,Universal Instantiation,F2,All rocks are minerals.. The diamond is a rock.,The diamond is not a mineral.,False
100,First Order Logic,Universal Instantiation,F2,All liquids are wet.. Water is a liquid.,Water is not wet.,False
101,First Order Logic,Universal Instantiation,F2,All metals are elements.. Gold is a metal.,Gold is not an element.,False
102,First Order Logic,Universal Instantiation,F2,All gas is flammable.. Natural gas is a gas.,Natural gas is not flammable.,False
103,First Order Logic,Universal Instantiation,F2,All people are human.. John is a person.,John is not a human.,False
104,First Order Logic,Universal Instantiation,F2,All human beings are mortal.. George Washington was a human being.,George Washington was not mortal.,False
105,First Order Logic,Universal Instantiation,F2,All birds can fly.. The ostrich is a bird.,The ostrich cannot fly.,False
106,First Order Logic,Universal Instantiation,F2,All insects have six legs.. The ant is an insect.,The ant does not have six legs.,False
107,First Order Logic,Universal Instantiation,F2,All matter is solid.. Water is matter.,Water is not solid.,False
108,First Order Logic,Universal Instantiation,F2,All stars are planets.. The Sun is a star.,The Sun is not a planet.,False
109,First Order Logic,Universal Instantiation,F2,All planets orbit the Sun.. Pluto is a planet.,Pluto does not orbit the Sun.,False
110,First Order Logic,Universal Instantiation,F2,All galaxies are clusters of stars.. The Milky Way is a galaxy.,The Milky Way is not a cluster of stars.,False
111,First Order Logic,Universal Instantiation,F2,All matter is made of atoms.. The chair is matter.,The chair is not made of atoms.,False
112,First Order Logic,Universal Instantiation,F2,All living things are made of cells.. The tree is a living thing.,The tree is not made of cells.,False
113,First Order Logic,Universal Instantiation,F2,All chemical reactions involve atoms.. The explosion is a chemical reaction.,The explosion does not involve atoms.,False
114,First Order Logic,Universal Instantiation,F2,All light is electromagnetic radiation.. The light bulb is emitting light.,The light bulb is not emitting electromagnetic radiation.,False
115,First Order Logic,Universal Instantiation,F2,All sounds are vibrations.. The music is a sound.,The music is not a vibration.,False
116,First Order Logic,Universal Instantiation,F2,All plants are green.. The rose is a plant.,The rose is not green.,False
117,First Order Logic,Universal Instantiation,F2,All fruits are sweet.. The lemon is a fruit.,The lemon is not sweet.,False
118,First Order Logic,Universal Instantiation,F2,All vegetables are healthy.. The carrot is a vegetable.,The carrot is not healthy.,False
119,First Order Logic,Universal Instantiation,F2,All numbers are divisible by three.. The number six is a number.,The number six is not divisible by three.,False
120,First Order Logic,Universal Instantiation,F2,All even numbers are divisible by two.. The number four is an even number.,The number four is not divisible by two.,False
121,First Order Logic,Universal Instantiation,F2,All odd numbers are not divisible by two.. The number nine is an odd number.,The number nine is not divisible by two.,False
122,First Order Logic,Universal Instantiation,F2,All letters are vowels.. The letter 'b' is a letter.,The letter 'b' is not a vowel.,False
123,First Order Logic,Universal Instantiation,F2,All words are made of letters.. The word 'cat' is a word.,The word 'cat' is not made of letters.,False
124,First Order Logic,Universal Instantiation,F2,All sentences are made of words.. The sentence 'The quick brown fox jumps over the lazy dog.' is a sentence.,The sentence 'The quick brown fox jumps over the lazy dog.' is not made of words.,False
125,First Order Logic,Universal Instantiation,F2,All paragraphs are made of sentences.. The paragraph 'This is the first sentence. This is the second sentence.' is a paragraph.,The paragraph 'This is the first sentence. This is the second sentence.' is not made of sentences.,False
126,First Order Logic,Universal Instantiation,F2,"All stories are made of paragraphs.. The story 'Once upon a time, there was a princess who lived in a castle.' is a story.","The story 'Once upon a time, there was a princess who lived in a castle.' is not made of paragraphs.",False
127,First Order Logic,Universal Instantiation,F2,All humans are mortal.. Men are humans.,Men are mortal.,True
128,First Order Logic,Universal Instantiation,F2,All humans are mortal.. Women are humans.,Women are mortal.,True
129,First Order Logic,Universal Instantiation,F2,All humans are mortal.. Socrates is a human.,Socrates is mortal.,True
130,First Order Logic,Universal Instantiation,F2,All humans are mortal.. Plato is a human.,Plato is mortal.,True
131,First Order Logic,Universal Instantiation,F2,All humans are mortal.. Aristotle is a human.,Aristotle is mortal.,True
132,First Order Logic,Universal Instantiation,F2,All dogs are animals.. Poodles are dogs.,Poodles are animals.,True
133,First Order Logic,Universal Instantiation,F2,All cats are animals.. Siamese are cats.,Siamese are animals.,True
134,First Order Logic,Universal Instantiation,F2,All birds are animals.. Crow is a bird.,Crow is an animal.,True
135,First Order Logic,Universal Instantiation,F2,All animals are mortal.. Dogs are animals.,Dogs are mortal.,True
136,First Order Logic,Universal Instantiation,F2,All animals are mortal.. Cats are animals.,Cats are mortal.,True
137,First Order Logic,Universal Instantiation,F2,All animals are mortal.. Birds are animals.,Birds are mortal.,True
138,First Order Logic,Universal Instantiation,F2,All mammals are animals.. Dogs are mammals.,Dogs are animals.,True
139,First Order Logic,Universal Instantiation,F2,All mammals are animals.. Cats are mammals.,Cats are animals.,True
140,First Order Logic,Universal Instantiation,F2,All insects are animals.. Mosquitoes are insects.,Mosquitoes are animals.,True
141,First Order Logic,Universal Instantiation,F2,All reptiles are animals.. Alligators are reptiles.,Alligators are animals.,True
142,First Order Logic,Universal Instantiation,F2,All amphibians are animals.. Frogs are amphibians.,Frogs are animals.,True
143,First Order Logic,Universal Instantiation,F2,All fish are animals.. Sharks are fish.,Sharks are animals.,True
144,First Order Logic,Universal Instantiation,F2,All humans are animals.. Boys are humans.,Boys are animals.,True
145,First Order Logic,Universal Instantiation,F2,All humans are animals.. Girls are humans.,Girls are animals.,True
146,First Order Logic,Universal Instantiation,F2,All humans are animals.. Teachers are humans.,Teachers are animals.,True
147,First Order Logic,Universal Instantiation,F2,All humans are animals.. Siblings are humans.,Siblings are animals.,True
148,First Order Logic,Universal Instantiation,F2,All humans are animals.. Friends are humans.,Friends are animals.,True
149,First Order Logic,Universal Instantiation,F2,All humans are animals.. Parents are humans.,Parents are animals.,True
150,First Order Logic,Universal Instantiation,F2,All humans are animals.. Grandparents are humans.,Grandparents are animals.,True
151,Propositional Logic,Disjunctive Syllogism,P4,The cake is either chocolate or vanilla.. It is not chocolate.,The cake is vanilla.,True
152,Propositional Logic,Disjunctive Syllogism,P4,The car is either black or red.. It is not black.,The car is red.,True
153,Propositional Logic,Disjunctive Syllogism,P4,The pen is either black or blue.. It is not black.,The pen is blue.,True
154,Propositional Logic,Disjunctive Syllogism,P4,The shirt is either white or blue.. It is not white.,The shirt is blue.,True
155,Propositional Logic,Disjunctive Syllogism,P4,The sky is either blue or orange.. It is not orange.,The sky is blue.,True
156,Propositional Logic,Disjunctive Syllogism,P4,The house is either white or green.. It is not white.,The house is green.,True
157,Propositional Logic,Disjunctive Syllogism,P4,The cat is either black or white.. It is not black.,The cat is white.,True
158,Propositional Logic,Disjunctive Syllogism,P4,The book is either black or brown.. It is not black.,The book is brown.,True
159,Propositional Logic,Disjunctive Syllogism,P4,The dog is either black or brown.. It is not black.,The dog is brown.,True
160,Propositional Logic,Disjunctive Syllogism,P4,The tree is either green or yellow.. It is not yellow.,The tree is green.,True
161,Propositional Logic,Disjunctive Syllogism,P4,The computer is either black or silver.. It is not black.,The computer is silver.,True
162,Propositional Logic,Disjunctive Syllogism,P4,The phone is either black or white.. It is not black.,The phone is white.,True
163,Propositional Logic,Disjunctive Syllogism,P4,The paper is either white or blue.. It is not white.,The paper is blue.,True
164,Propositional Logic,Disjunctive Syllogism,P4,The envelope is either white or brown.. It is not white.,The envelope is brown.,True
165,Propositional Logic,Disjunctive Syllogism,P4,The chair is either white or black.. It is not white.,The chair is black.,True
166,Propositional Logic,Disjunctive Syllogism,P4,The door is either white or brown.. It is not white.,The door is brown.,True
167,Propositional Logic,Disjunctive Syllogism,P4,The table is either white or brown.. It is not white.,The table is brown.,True
168,Propositional Logic,Disjunctive Syllogism,P4,The house is either blue or white.. It is not blue.,The house is white.,True
169,Propositional Logic,Disjunctive Syllogism,P4,The cake is either chocolate or vanilla.. It is not chocolate.,The cake is not vanilla.,False
170,Propositional Logic,Disjunctive Syllogism,P4,The trophy is either gold or silver.. It is not gold.,The trophy is not silver.,False
171,Propositional Logic,Disjunctive Syllogism,P4,The dog is either black or brown.. It is not black.,The dog is not brown.,False
172,Propositional Logic,Disjunctive Syllogism,P4,The house is either blue or white.. It is not blue.,The house is not white.,False
173,Propositional Logic,Disjunctive Syllogism,P4,The pen is either black or blue.. It is not black.,The pen is not blue.,False
174,Propositional Logic,Disjunctive Syllogism,P4,The shirt is either red or blue.. It is not red.,The shirt is not blue.,False
175,Propositional Logic,Disjunctive Syllogism,P4,The car is either black or white.. It is not black.,The car is not white.,False
176,Propositional Logic,Disjunctive Syllogism,P4,The book is either black or white.. It is not black.,The book is not white.,False
177,Propositional Logic,Disjunctive Syllogism,P4,The phone is either black or white.. It is not black.,The phone is not white.,False
178,Propositional Logic,Disjunctive Syllogism,P4,The cat is either black or white.. It is not black.,The cat is not white.,False
179,Propositional Logic,Disjunctive Syllogism,P4,The apple is either red or green.. It is not red.,The apple is not green.,False
180,Propositional Logic,Disjunctive Syllogism,P4,The banana is either yellow or green.. It is not yellow.,The banana is not green.,False
181,Propositional Logic,Disjunctive Syllogism,P4,The orange is either orange or green.. It is not orange.,The orange is not green.,False
182,Propositional Logic,Disjunctive Syllogism,P4,The strawberry is either red or green.. It is not red.,The strawberry is not green.,False
183,Propositional Logic,Disjunctive Syllogism,P4,I will either drink milk or I will drink juice.. I will not drink juice.,I will drink milk.,True
184,Propositional Logic,Disjunctive Syllogism,P4,I will either drink water or I will drink soda.. I will not drink soda.,I will drink water.,True
185,Propositional Logic,Disjunctive Syllogism,P4,I will either drink beer or I will drink soda.. I will not drink beer.,I will drink soda.,True
186,Propositional Logic,Disjunctive Syllogism,P4,I will either drink water or I will drink milk.. I will not drink water.,I will drink milk.,True
187,Propositional Logic,Disjunctive Syllogism,P4,I will either eat an apple or I will eat a banana.. I will not eat an apple.,I will eat a banana.,True
188,Propositional Logic,Disjunctive Syllogism,P4,I will either read a book or I will watch a movie.. I will not read a book.,I will watch a movie.,True
189,Propositional Logic,Disjunctive Syllogism,P4,I will either take a walk or I will take the bus.. I will not take a walk.,I will take the bus.,True
190,Propositional Logic,Disjunctive Syllogism,P4,I will either write a paper or I will do the dishes.. I will not write a paper.,I will do the dishes.,True
191,Propositional Logic,Disjunctive Syllogism,P4,I will either go to the park or I will stay home.. I will not go to the park.,I will stay home.,True
192,Propositional Logic,Disjunctive Syllogism,P4,I will either go to the store or I will go to the mall.. I will not go to the store.,I will go to the mall.,True
193,Propositional Logic,Disjunctive Syllogism,P4,I will either study for the test or I will play video games.. I will not study for the test.,I will play video games.,True
194,Propositional Logic,Disjunctive Syllogism,P4,I will either sleep or I will stay up all night.. I will not sleep.,I will stay up all night.,True
195,Propositional Logic,Disjunctive Syllogism,P4,I will either go out with friends or I will stay home.. I will not go out with friends.,I will stay home.,True
196,Propositional Logic,Disjunctive Syllogism,P4,I will either go to the gym or I will stay home.. I will not go to the gym.,I will stay home.,True
197,Propositional Logic,Disjunctive Syllogism,P4,I will either do my homework or I will watch TV.. I will not do my homework.,I will watch TV.,True
198,Propositional Logic,Disjunctive Syllogism,P4,I will either eat healthy or I will eat junk food.. I will not eat healthy.,I will eat junk food.,True
199,Propositional Logic,Disjunctive Syllogism,P4,I will either go outside or I will stay inside.. I will not go outside.,I will stay inside.,True
200,Propositional Logic,Disjunctive Syllogism,P4,I will either call my parents or I will not call my parents.. I will not call my parents.,I will not call my parents.,True
201,Propositional Logic,Disjunctive Syllogism,P4,I will either drink water or I will drink soda.. I will not drink soda.,I will not drink water.,False
202,Propositional Logic,Disjunctive Syllogism,P4,I will either take a walk or I will take the bus.. I will not take the bus.,I will not take a walk.,False
203,Propositional Logic,Disjunctive Syllogism,P4,I will either go to the store or I will go to the mall.. I will not go to the mall.,I will not go to the store.,False
204,Propositional Logic,Disjunctive Syllogism,P4,I will either sleep or I will stay up all night.. I will sleep.,I will stay up all night.,False
205,Propositional Logic,Disjunctive Syllogism,P4,I will either go out with friends or I will stay home.. I will go out with friends.,I will stay home.,False
206,Propositional Logic,Disjunctive Syllogism,P4,I will either go to the gym or I will stay home.. I will go to the gym.,I will stay home.,False
207,Propositional Logic,Disjunctive Syllogism,P4,I will either do my homework or I will watch TV.. I will do my homework.,I will watch TV.,False
208,Propositional Logic,Disjunctive Syllogism,P4,I will either eat healthy or I will eat junk food.. I will eat healthy.,I will eat junk food.,False
209,Propositional Logic,Disjunctive Syllogism,P4,I will either go outside or I will stay inside.. I will go outside.,I will stay inside.,False
210,Propositional Logic,Disjunctive Syllogism,P4,I will either call my parents or I will not call my parents.. I will call my parents.,I will not call my parents.,False
211,Propositional Logic,Disjunctive Syllogism,P4,I will either drink milk or I will drink juice.. I will not drink juice.,I will not drink milk.,False
212,Propositional Logic,Disjunctive Syllogism,P4,I will either eat an apple or I will eat a banana.. I will not eat a banana.,I will not eat an apple.,False
213,Propositional Logic,Disjunctive Syllogism,P4,I will either read a book or I will watch a movie.. I will watch a movie.,I will not read a book.,False
214,Propositional Logic,Disjunctive Syllogism,P4,I will either write a paper or I will do the dishes.. I will write a paper.,I will not do the dishes.,False
215,Propositional Logic,Disjunctive Syllogism,P4,I will either go to the park or I will stay home.. I will go to the park.,I will stay home.,False
216,Propositional Logic,Disjunctive Syllogism,P4,I will either study for the test or I will play video games.. I will study for the test.,I will not play video games.,False
217,Propositional Logic,Disjunctive Syllogism,P4,I will either sleep or I will stay up all night.. I will sleep.,I will stay up all night.,False
218,Propositional Logic,Disjunctive Syllogism,P4,I will either go out with friends or I will stay home.. I will go out with friends.,I will stay home.,False
219,Propositional Logic,Disjunctive Syllogism,P4,I will either go to the gym or I will stay home.. I will go to the gym.,I will stay home.,False
220,Propositional Logic,Disjunctive Syllogism,P4,I will either do my homework or I will watch TV.. I will do my homework.,I will watch TV.,False
221,Propositional Logic,Disjunctive Syllogism,P4,I will either eat healthy or I will eat junk food.. I will eat healthy.,I will eat junk food.,False
222,Propositional Logic,Disjunctive Syllogism,P4,I will either go outside or I will stay inside.. I will go outside.,I will stay inside.,False
223,Propositional Logic,Disjunctive Syllogism,P4,I will either call my parents or I will not call my parents.. I will call my parents.,I will not call my parents.,False
224,Propositional Logic,Disjunctive Syllogism,P4,I will either drink milk or I will drink juice.. I will not drink milk.,I will not drink juice.,False
225,Propositional Logic,Disjunctive Syllogism,P4,I will either eat an apple or I will eat a banana.. I will not eat an apple.,I will not eat a banana.,False
226,Propositional Logic,Disjunctive Syllogism,P4,I will either read a book or I will watch a movie.. I will not watch a movie.,I will not read a book.,False
227,Propositional Logic,Disjunctive Syllogism,P4,I will either write a paper or I will do the dishes.. I will do the dishes.,I will not write a paper.,False
228,Propositional Logic,Disjunctive Syllogism,P4,I will either go to the park or I will stay home.. I will not stay home.,I will not go to the park.,False
229,Propositional Logic,Disjunctive Syllogism,P4,The race is either won or lost.. The race is not won.,The race is lost.,True
230,Propositional Logic,Disjunctive Syllogism,P4,The game is either won or lost.. The game is not won.,The game is lost.,True
231,Propositional Logic,Disjunctive Syllogism,P4,The election is either won or lost.. The election is not won.,The election is lost.,True
232,Propositional Logic,Disjunctive Syllogism,P4,The battle is either won or lost.. The battle is not won.,The battle is lost.,True
233,Propositional Logic,Disjunctive Syllogism,P4,The war is either won or lost.. The war is not won.,The war is lost.,True
234,Propositional Logic,Disjunctive Syllogism,P4,The test is either passed or failed.. The test is not passed.,The test is failed.,True
235,Propositional Logic,Disjunctive Syllogism,P4,The project is either completed or failed.. The project is not completed.,The project is failed.,True
236,Propositional Logic,Disjunctive Syllogism,P4,The contract is either signed or failed.. The contract is not signed.,The contract is failed.,True
237,Propositional Logic,Disjunctive Syllogism,P4,The deal is either made or failed.. The deal is not made.,The deal is failed.,True
238,Propositional Logic,Disjunctive Syllogism,P4,The transaction is either completed or failed.. The transaction is not completed.,The transaction is failed.,True
239,Propositional Logic,Disjunctive Syllogism,P4,The negotiation is either successful or failed.. The negotiation is not successful.,The negotiation is failed.,True
240,Propositional Logic,Disjunctive Syllogism,P4,The interview is either a success or a failure.. The interview is not a success.,The interview is a failure.,True
241,Propositional Logic,Disjunctive Syllogism,P4,The presentation is either a success or a failure.. The presentation is not a success.,The presentation is a failure.,True
242,Propositional Logic,Disjunctive Syllogism,P4,The meeting is either a success or a failure.. The meeting is not a success.,The meeting is a failure.,True
243,Propositional Logic,Disjunctive Syllogism,P4,The date is either a success or a failure.. The date is not a success.,The date is a failure.,True
244,Propositional Logic,Disjunctive Syllogism,P4,The class is either a success or a failure.. The class is not a success.,The class is a failure.,True
245,Propositional Logic,Disjunctive Syllogism,P4,The party is either a success or a failure.. The party is not a success.,The party is a failure.,True
246,Propositional Logic,Disjunctive Syllogism,P4,The trip is either a success or a failure.. The trip is not a success.,The trip is a failure.,True
