,premise,hypothesis,gold,predict,error
29,"After an action is performed, things normally remain as they were.. Any time an item is selected, the item will be added to the cart.. If an item is in the cart, after shopping, the item will be billed.. Initially the item is not in the cart.. Initially the item is not billed.. Initially shopping is not over","After an item is selected, it will be added to the cart and after shopping, the item will not be billed.",0,0,0
30,"After an action is performed, things normally remain as they were.. Any time an order is received, food will be cooked.. If the food is cooked, it will be served.. Initially the order was not received.. Initially food is not served.","After an order has been received, food will not be cooked and served.",0,0,0
31,"After an action is performed, things normally remain as they were.. When an item is selected, the item will be normally added to the cart.. When an item is in the cart, after shopping, the item will be billed.. Initially the item is not in the cart.. Initially the item is not billed.. Initially shopping is not over","After cooked food is placed inside micro-oven, the food will be not cooked.",0,0,0
32,"After an action is performed, things normally remain as they were.. When an order is received, food will be cooked.. When food is cooked, it will be served.. Initially the order was not received.. Initially food is not served.",The food will be cooked without an order.,0,0,0
33,"After an action is performed, things normally remain as they were.. When food is kept inside micro-oven, the food will be cooked. When a food is not cooked, after cooking, the food will be cooked.. Initially the food is not cooked.. Initially the food is not kept inside micro-oven.","After cooked food is placed inside micro-oven, the food will be cooked.",1,1,0
34,"After an action is performed, things normally remain as they were.. When an item is selected, the item will be added to the cart.. When an item is in the cart, after shopping, the item will be billed.. Initially the item is not in the cart.. Initially the item is not billed.. Initially shopping is not over","After an item is selected, it will be added to the cart and after shopping, the item will be billed.",1,1,0
35,"When a plate of food is served on the table, the plate normally stays in the table.. After plate of food A is served on the table, and then plate of food B is served on the table, at most one of the plates A, B was on the table.","After the action is performed, exactly one of plate A, B was on the table.",1,1,0
36,"When a gymnast takes a pair of weights from the rack, normally the gymnast exercises with it.. After a gymnast takes a pair of weights A from the rack, and then takes a pair of weights B from the rack, the gymnast exercises with at most one of the weights A, B.","After the action is performed, exactly one of the weights A, B is used by the gymnast.",1,1,0
37,"When a car is parked at a parking spot, the car usually stays on the spot.. After car A is parked at the parking spot, and then car B is parked in the parking spot, at most one of the cars A, B was in the parking lot.","After the action is performed, exactly one of car A, B was in the parking spot.",1,1,0
38,"When a movie is bought by a theatre, the theatre normally plays the movie.. After movie A is bought by the theatre, and then movie B is bought by the theatre, at most one of the movies A, B will be played.","After the action is performed, exactly one of movies A, B was played.",1,1,0
39,"After an action is performed, things normally remain as they were.. When a plate of food is served at the table, the plate normally stays in the table.. When a plate of food A is moved to table 1, plate of food B falls down.",Plate of food B would have fallen down if plate of food A is moved to table 2.,1,1,0
40,"After an action is performed, things normally remain as they were.. When a gymnast takes a pair of weights from the rack, normally the gymnast exercises with it.. When a gymnast does exercise 1 with a pair of weights A, pair of weights B will not be used.",Pair of weights B would not be in use if gymnast does exercise 2 with pair of weights A.,1,2,1
41,"After an action is performed, things normally remain as they were.. When a car is parked at a parking spot, the car usually stays in the spot.. After car A is parked in parking spot 1, car B will be removed from the parking lot.",Car B would have been removed from the parking lot if car A is parked in parking spot 2.,1,2,1
42,"After an action is performed, things normally remain as they were.. When a movie is bought by a theatre, the theatre normally plays the movie.. After movie A is played in screen 1, no one watches movie B.",No one would have watched movie B if movie A is played in screen 2.,1,2,1
43,"If I study, I will get a job.. If I sleep, I will be active.. I will either study or I will not be active.",I will get a job or I will not sleep.,1,1,0
44,"If I breathe, I will survive. If I work, I will be tired. I will either breathe or I will not be tired",I will survive or I will not work,1,1,0
45,"If I go out, I will get grocerries.. If I eat, I will be happy.. I will either go out or I will not be happy.",I will get grocerries or I will not eat.,1,1,0
46,"If I practive, I will dance.. If I work, I will get money.. I will either practice or I will not get money.",I will dance or I will not work.,1,0,1
47,"If I exercise, I will be healthy.. If I am sad, I will cry.. I will either exercise or I will not cry.",I will be healthy or I will not be sad.,1,0,1
48,John got good marks in Physics.,"Therefore, someone got good marks in Physics.",1,1,0
49,Edmund Hillary climbed mount Everest.,"Therefore, someone climbed mount Everest.",1,1,0
50,Neil Armstrong was the first person to walk on the lunar surface.,"Therefore, someone walked on the lunar surface.",1,1,0
51,Apples are grown at Washington state in the United States.,"Therefore, somewhere in the United States Apples are grown.",1,2,1
52,There are rich people in the community.,"Therefore, someone in the community is rich.",1,1,0
53,"If anyone is sad, they will cry.. John is hungry.",John will cry.,1,2,1
54,"If John hears telephone ringing, he will answer the telephone.. John hears telephone ringing.",John will answer the telephone.,1,1,0
55,"If there is smoke in the room, alarm will ring.. There is smoke in the room.",Alarm will ring.,1,1,0
56,"If temperature is below zero degrees, ice will form.. The temperature is below zero degrees.",Ice will form.,1,1,0
57,"If Patrick comes on time, he could enter the lecture hall.. Patrick comes on time.",Patrick could enter the lecture hall.,1,1,0
58,"If the sun shines tomorrow, then we will go to the beach.. If it rains tomorrow, then we will go to the museum.. Either we will not go to the beach or we will not go to the museum.",Therefore either it will not be sunny or it will not be rainy.,1,1,0
59,"If I have 1 million dollars, I will donate half of it.. If I have 10 million dollars, I will donate 75% of it.. Either I will not donate 500 thousand dollars or 7.5 million dollars.",Therefore I will not have 1 million or 10 million dollars.,1,2,1
60,"If I am working out, I am happy.. If I am sleeping, I am dreaming.. Either I am not happy or I am not sleeping.",Therefore I am working out or I am sleeping.,0,1,1
61,"If it rains, roads will be muddy. If it snows, roads will be slippery. Either the roads will not be muddy or the roads will not be slippery.","Therefore, it will be rainy or it will be snowy.",0,1,1
62,"If you take Logic, you will have to do a lot of homework. If you take Philosophy, you will have to write a lot of papers.. Since you didn't do a lot of homework or you didn't have to write a lot of papers.","Therefore, you didn't take logic and you didn't take Philosophy.",2,2,0
63,You will get an A if you get above 90 in the AI course.. Marry got 93 in the AI course.,Marry will get an A in the AI course.,1,1,0
64,A king has a crown on his head.. Jhon has a crown on this head.,Jhon is a king.,1,1,0
65,A hybrid vehicle is operated by both oil and electricity.. A Tesla is operated by only electricity.,A Tesla is a hybrid vehicle.,0,1,1
66,It is weird if someone can't talk to women.. Rajesh can't talk to women.,Rajesh is not weird.,0,0,0
67,Fantasy books are likely to be adopted as movies.. Harry Potter is adopted as a movie.,Harry Potter is a thriller book.,2,2,0
68,"If the sun shines tomorrow, then we will go to the beach.. If it rains tomorrow, then we will go to the museum.. Tomorrow the sun will shine, or it will rain.",Therefore tomorrow we will go to the museum or to the beach.,1,1,0
69,"If I have 1 million dollars, I will donate half of it.. If I have 10 million dollars, I will donate 75% of it.. Either I have 1 million dollars or 10 million dollars.",Therefore I will donate 500 thousand dollars or 7.5 million dollars.,1,2,1
70,"If I am working out, I am happy.. If I am sleeping, I am dreaming.. Either I am working out or sleeping.",Therefore I am not happy or I am not dreaming.,0,1,1
71,"If it rains, roads will be muddy. If it snows, roads will be slippery. Either it is raining or it is snowy","Therefore, roads are not either muddy, or roads are slippery.",0,0,0
72,"If you take Logic, you will have to do a lot of homework. If you take Philosophy, you will have to write a lot of papers.. Since you take either Logic or Philosophy.","Therefore, you will have to do a lot of homework and write a lot of papers.",2,2,0
73,Two racers are aiming for the same track.. Racer A is relatively faster than racer B.. There was no accident reported while the racing event.,Racer A wins the race.,1,1,0
74,There are three friends dining out.. One of them has only vegetarian dishes.. Other one have only non-vegetarian dishes.. The last friend has both vegetarian and non-vegetarian dishes.,They at least need to order two dishes for sharing meals.,1,2,1
75,Goldfish commonly kept as a pet in indoor aquariums.. There are few goldfish in an aquarium with no water.. The goldfishes can not survive without water.,The goldfishes are alive in aquariums.,0,2,1
76,Person A loves playing both soccer and tennis.. He plays soccer on weekends and tennis on weekdays.. Today is the weekend.,Person A will play tennis today.,0,1,1
77,Passengers are likely to miss their connecting flights if the earlier flight is late.. Passengers needed to wait for a certain amount of time due to these connecting flights.. Sam is flying to New York and he missed the connecting flight in Denver.,Sam will reach Italy late.,2,2,0
78,"If today is Tuesday, then John will go to work.. Today is Tuesday.",John will go to work today.,1,2,1
79,The weather will be comfortable in Tempe in October.. Weather is comfortable in Tempe now.,It is October in Tempe.,1,2,1
80,I will play cricket on weekends if there is no rain.. I played cricket last weekend.,There was rain last weekend.,0,1,1
81,"If it is fall break, we will go on a trip to Sedona.. It is fall break now.",We are not on a trip to Sedona.,0,0,0
82,I will go to the library if there is an exam coming up.. I am in the library.,There is new tv series coming up on Netflix.,2,2,0
83,Healthy people are normally happy.. At least one healthy people are not happy.,Exactly one healthy people are not happy.,1,1,0
84,First three finishers will get prizes for completing a race.. At least one or more racers will not get the prize.,Exactly one or more racers will not finish in the first three places.,1,2,1
85,Most of the road accidents that occurred in last week are reported to the police.. At least one accident was not reported to the police in last week.,Exactly one accident was reported to the police last week.,0,0,0
86,Students who submitted assignments before due are likely to get good grades.. At least one or more students will submit the assignment after the due date.,Most of the students will not get good grades.,0,0,0
87,People go to sea beach in summer vacation.. At least one person did not go to the beach in summer vacation.,Many people did go hiking in summer vacation.,2,2,0
88,"A, B, C are three high-priority packages.. High-priority packages usually reached the delivery destination within 24 hours.. At least one of packages A or B did not reach the destination within 24 hours.",Package C will be delivered to the destination within 24 hours.,1,1,0
89,"A, B, C are three high-priority packages.. High-priority packages usually reached to the delivery destination within 24 hours.. At least one of the packages A or B did not reach the destination within 24 hours.",Exactly one of the packages A or B did not reach to the destination within 24 hours.,1,1,0
90,"Classical guitar strings are made of materials such as nylon, fluorocarbon, and other synthetics.. Guitar X or Guitar Y’s strings are made of different materials except these.","Exactly one of X or Y’s strings are not made of nylon, fluorocarbon, and other synthetic.",1,0,1
91,"Students A, B, C received good grades.. To receive good grades normally students are required to score above 90% in midterm exam.. At least one of the A, B did not score above 90% in mid-term.",C did not score more than 90% in mid-term.,0,1,1
92,"Person A put a laptop, an ipad in his bag while going out.. Today he forget to put either the laptop or the ipad in the bag.",Both the laptop and the ipad is missing in the bag today.,0,1,1
93,"Blocks A, B, and C are heavy.. Heavy blocks are normally on the table.. At least one of A, B is not on the table.",Both B and C are on the table.,2,1,1
94,"If the sky is cloudy, it will rain.. If it snows today, then the schools declare a holiday.. The sky is either cloudy or it snows today.",It will rain or the schools declare a holiday.,1,1,0
95,"If we reach the museum on time, we can see all the artworks displayed.. If we go to the museum on a Sunday, then the museum will be closed.. We reach the museum on time or we go to the museum on a Sunday.",We can see all the artworks displayed or the museum will be closed.,1,1,0
96,"If the episode of the show releases today, then he will watch the episode.. If it does not rain today, then he will play cricket with his friends.. The episode of the show releases today or it does not rain today.",He will watch the episode or he will play cricket with his friends.,1,1,0
97,"If I win a million dollars, I will donate it to an orphanage.. If my friend wins a million dollars, he will donate it to a wildlife fund.. Either I win a million dollars or my friend wins a million dollars.","Therefore, either an orphanage will get a million dollars, or a wildlife fund will get a million dollars.",1,1,0
98,"If I come first in the race, I get a bicycle as a prize.. If my friend gets a promotion, then he will celebrate it with a party.. Either I come first in the race or my friend gets a promotion.","Therefore, either I get a bicycle as a prize or my friend will celebrate his promotion with a party.",1,1,0
99,"After an action is performed, things normally remain as they were.. When a person is offered admission to a university, then the person can accept or decline the admission.. If a person decides to accept the admission, then they become a student.. Joshua has received admission to Stanford and Berkeley.. Joshua is now working at Google.","Either before or after being admitted, Joshua decided to switch to employment at Google.",2,1,1
100,"After an action is performed, things normally remain as they were.. When the robot moves the block to another location, the block will normally be at that location.. After the robot moved the block to location A and then to location B, the block changed its shape.",The block must have changed its shape either after the first move or the second.,1,1,0
101,"After an action is performed, things normally remain as they were.. Anytime the robot grasps a block, the block will be in its hand.. The robot is battery-powered.. When the robot moves a block to another location, the block will normally be at that location.. The robot grasped a block and stopped before reaching the destination.",The robot must have powered down while trying to reach the destination.,2,1,1
102,"After an action is performed, things normally remain as they were.. Andrew likes both chocolate and strawberry-flavored cakes.. For his birthday, however, he decided to try out honey-flavored cake.","Sometime before his birthday, Andrew decided to try out honey-flavored cake instead.",1,1,0
103,Some pets are dogs.. Jimmy is a dog.. Jimmy does not bite people.,Jimmy is a pet.,1,0,1
104,"Some vegetables can be eaten raw.. Beetroot is a vegetable.. If beetroot is eaten raw, it has positive effects on the human body.",Beetroot can be eaten raw.,1,1,0
105,Some electronic devices are portable.. A device is called portable if it can be carried from one place to another by hand.. A laptop is an electronic device that can be carried by hand.,A laptop is a portable electronic device.,1,1,0
106,Some food items are completely vegan.,No conclusion can be drawn from the given information.,2,0,1
107,Some electronic devices are portable.. A device is called portable if it can be carried from one place to another by hand.. A laptop is an electronic device that can be carried by hand.,A laptop is not a portable electronic device.,0,0,0
108,"After an action is performed, things normally remain as they were.. Any time the item is in the robot's hand, it travels to the truck.. Any time the robot picks up an item, it will be in the robot's hand.. If an item is on the ground and its hand is empty, the robot will pick the item up.. After reaching the location of the truck, the robot places the item inside the truck.. Initially, the robot's hand is empty.. Initially, the item is on the ground.","After the robot picks up the item, travels to the truck and places the item inside the truck.",1,1,0
109,"After an action is performed, things normally remain as they were.. Any time an item is not present in the house, robot adds the item to the shopping list.. If an item is already in the shopping list, the robot will not add the item to the shopping list.. Sugar is an item.. Initially, sugar is not present in the house.. Initially, sugar is not present in the shopping list.","After identifying that sugar is not present in the house, robot will add it to the shopping list.",1,1,0
110,"After an action is performed, things normally remain as they were.. Any time the sun sets, a sensor turns on in the robot.. If the sensor is on, the robot goes near the light switch.. If the light switch is off, the robot will turn it on.. Initially, the light switch is off.. Initially, the sun has not set.","After the sun sets, the robot will go near the light switch, and turn it on.",1,1,0
111,"After an action is performed, things normally remain as they were.. Any time the sun sets, a sensor turns on in the robot.. If the sensor is on, the robot goes near the light switch.. If the light switch is off, the robot will turn it on.. Initially, the light switch is off.. Initially, the sun has not set.","After the sun sets, the robot will go near the light switch, and not turn it on.",0,0,0
112,"After an action is performed, things normally remain as they were.. When the seats open for a course, a student will take up the course.. If John sees open seats for AI or NLP when he is looking for a course, he will take up the course.. John is currently looking for a course.","After John sees that seats are available for both AI and NLP, he would have taken up one of the courses.",1,1,0
113,"After an action is performed, things normally remain as they were.. When a person is offered admission to a university, then the person can accept or decline the admission.. If a person decides to accept the admission, then they become a student.. James has received admission to Stanford and Berkeley.. James is willing to accept the admission.","After James is offered admission at Stanford and Berkeley, he is now a student either at Stanford or Berkeley.",1,1,0
114,"If anyone is hungry, they will eat food.. Susan is hungry.",Susan will eat food.,1,1,0
115,"If the alarm rings in the morning, he will wake up.. The alarm rings in the morning.",He will wake up.,1,1,0
116,"If the temperature is not hot, then David will go for a ride on his bicycle.. The temperature is not hot.",David will go for a ride on his bicycle.,1,1,0
117,"If the movie releases in her city, Lisa will watch the movie.. The movie was released in her city.",She will watch the movie.,1,1,0
118,"If Donna does not score an F, her result would be indicated as a pass.. Donna does not score an F.",Donna's result would be indicated as a pass.,1,1,0
119,"After an action is performed, things normally remain as they were.. When the robot picks up a block, the block will be in its hand.. When the robot's hand is empty, it will pick up the block if the storage space of the robot is also empty.. After the block is in the robot's hand, it will place the block in its storage space.. Initially, the block is on the floor.. Initially, the robot's hand is empty.",The robot picked up the block and placed it in the storage space.,2,0,1
120,"After an action is performed, things normally remain as they were.. When the robot picks up a block, the block will be in its hand.. If the storage space is empty, the robot will then pick up the block.. When the block is in the robot's hand, it will place the block in its storage space.. When the block is placed in the storage space, the robot will move toward the table.. Initially, the robot is on the floor.. Initially, the storage space of the robot is empty.",The robot picked up the block and placed it on the table.,1,0,1
121,"After an action is performed, things normally remain as they were.. When George starts his journey to his office, he has to use his personal vehicle to reach the bus stop from his house.. When George reaches the bus stop, he will board the bus which goes to his office.. Initially, George is in his house.",George uses his personal vehicle to go to the bus stop and uses the bus to reach his office.,1,1,0
122,"After an action is performed, things normally remain as they were.. When the sun sets, a sensor turns on in the robot.. When the sensor is on, the robot goes near the light switch.. If the light switch is off, the robot will turn it on.. Initially, the light switch is off.. Initially, the sun has not set.","After the sun sets, the robot will go near the light switch, and turn it on.",1,1,0
123,"If the sky is clear, it will not rain.. If Peter has some free time, then he will play golf.. It will not rain or Peter will not play golf.",The sky is not clear or Peter has no free time.,1,0,1
124,"If there is a train to Phoenix, then we will go to Phoenix by train.. If the restaurant is open, then we will eat in the restaurant.. We did not come to Phoenix by train or we did not eat in the restaurant.",There was no train to Phoenix or the restaurant was not open.,1,1,0
125,"If the movie releases today, then he will watch it during the weekend.. If it does not rain today, then he will play cricket with his friends.. He will not watch the movie during the weekend or he will not play cricket with his friends.",The movie will not be released today or it will rain today.,1,1,0
126,"If I win the lottery, I will go on a world tour.. If my friend wins the lottery, he will build a place of worship with it.. Either I will not go on a world tour or my friend will not build a place of worship.","Therefore, I did not win the lottery or my friend did not win the lottery.",1,1,0
127,"If I come first in the race, I get a bicycle as a prize.. If my friend gets a promotion, then he will celebrate it with a party.. Either I do not get the bicycle as a prize or my friend does not celebrate his promotion with a party.","Therefore, either I do not come first in the race or my friend does not get the promotion.",1,1,0
128,"If I graduate from college, I will get a job.. If I fail a class, I have to retake it.. Either I will not get a job or I will not have to retake a class.","Therefore, I will not graduate from college or I will not fail a class.",1,1,0
129,"If I put my pencil on the inclined plane, then it will roll off.. If I put my plate on the table, then dinner will be served.. Either the pencil will not roll off or the dinner will not be served.",Either I do not put my pencil on the inclined plane or I put my plate on the table.,0,1,1
130,"If I put the blanket on the couch, then the cat will sleep there.. If I put the remote on the couch, then I will watch TV.. Either the cat will not sleep on the couch or I will not watch TV.",Either I do not put the blanket on the couch or I do not put the remote on the couch.,1,0,1
131,"If I wear my scarf around the neck, I will look stylish.. If I cover myself with the blanket, then I will sleep warm.. Either I will not look stylish or I will not sleep warm.",I don't go to the school tomorrow.,2,0,1
132,"If I set the thermostat to 68 degrees, then the house will be comfortable.. If I eat a banana, then I will get energy.. Either the house will not be comfortable or I will not get energy.",Either I do not set the thermostat to 68 degrees or I do not eat a banana.,1,1,0
133,"If I put my shoes on, then I will go outside.. If I eat an apple, then I will get the nutrition.. Either I will not go outside or I will not get nutrition.",Either I do not put my shoes on or I make apple juice.,0,2,1
134,"If I put my candy wrapper on the desk, then the teacher will see it.. If I do my homework, then I will get a good grade.. Either the teacher will not see it or I will not get a good grade.",Either I do not put my candy wrapper on the desk or I do not do my homework.,1,1,0
135,"If I eat chocolate, then I will get energy.. If I have money, then I can buy a house.. Either I will not get energy or I will not buy a house.",I do not eat chocolate.,0,0,0
136,"If I stop at the red light, then I will not get a ticket.. If I swim in the pool, then I will get wet.. Either I will not get a ticket or I will not get wet.",Either I do not stop at the red light or I do not swim in the pool.,1,1,0
137,"If I watch cricket, then I will be bored.. If I watch baseball, then I will be entertained.. Either I will not be bored or I will not be entertained.",Either I do not watch cricket or I do not play baseball.,0,0,0
138,"If I use my charger, then my phone will have power.. If I eat food, then I will be nourished.. Either my phone will not have power or I will not be nourished.",Either I do not use my charger or I do not eat food.,1,1,0
139,"If there are street lights, then it is nighttime.. If it is nighttime, then I should not use my laptop.. Either it is not nighttime or I should not use my laptop.",Either there are no street lights or I should not use my laptop.,1,0,1
140,"If I use a hair brush, then my hair will be smooth.. If I use scotch tape, then my paper will be stuck together.. Either my hair will not be smooth or my paper will not be stuck together.",Either I do not use a hair brush or the paper will be stuck together.,0,0,0
141,"If I light a candle, then I will be able to see.. If I use a bookmark, then I will be able to find my place.. Either I will not be able to see or I will not be able to find my place.",I buy some bookmarks from the store.,2,0,1
142,"If I use nail clippers, then my nails will be short.. If I drink milk, then I will be healthy.. Either my nails will not be short or I will not be healthy.",Either I do not use nail clippers or I do not drink milk.,1,1,0
143,"If I put my desk in the living room, then my parents will see it.. If I use scotch tape, then my paper will be stuck together.. Either my parents will not see the table or my paper will not be stuck together.",Either I do not put my desk in the living room or I do not use scotch tape.,1,1,0
144,"If there is a puddle, then I will avoid it.. If I use packing peanuts, then my box will be filled.. Either I will not avoid the puddle or my box will not be filled.",The puddle is half-full with water.,2,2,0
145,"If I wear glasses, then I will be able to see.. If I wear eyeliner, then I will look pretty.. Either I will not be able to see or I will not look pretty.",Either I do not wear glasses or I wear eyeliner.,0,0,0
146,"If I use shampoo, then my hair will be clean.. If I use conditioner, then my hair will be soft.. Either my hair will not be clean or my hair will not be soft.",Either I do not use shampoo or I do not use conditioner.,1,1,0
147,"If I use tweezers, then I will be able to pluck my eyebrows.. If I use a cinder block, then I will be able to build a wall.. Either I will not be able to pluck my eyebrows or I will not be able to build a wall.",Either I use tweezers or I do not use a cinder block.,0,0,0
148,"If I use a cork, then I will be able to stop the wine from spilling.. If I use a bookmark, then I will not have to remember the page number.. Either the wine will not spill or I will have to remember the page.",Either I do not use a cork or I do not use a bookmark.,1,1,0
149,"If I use a spoon, then I can eat soup.. If I use olive oil, then I can cook pasta.. Either I cannot eat soup or I cannot cook pasta.",I did not like the pasta I made.,2,0,1
150,"If I use a glow stick, then I will be able to see in the dark.. If I use a cookie jar, then I will be able to store cookies.. Either I will not be able to see in the dark or I will not be able to store cookies.",Either I do not use a glow stick or I do not use a cookie jar.,1,1,0
151,"If I use a zipper, then I can close my jacket.. If I use a sponge, then I can clean the kitchen counter.. Either my jacket will not be closed or the kitchen counter will not be clean.",Either I use a laptop or I do not use a sponge.,0,0,0
152,"If I use a buckle, then I can close my belt.. If I use paper, then I can write a letter.. Either my belt will not be closed or I will not be able to write a letter.",The belt did not have a buckle of my liking.,2,0,1
153,"If I use a fork, then I can eat my food.. If I use a toothpick, then I can pick my teeth.. Either I will not be able to eat my food or I will not be able to pick my teeth.",I did not like the food at the restaurant.,2,0,1
154,"If I use a plate, then I can eat my food.. If I use a balloon, then I can decorate the room.. Either I will not be able to eat my food or the room will not be decorated.",Either I do not use a plate or I do not use a balloon.,1,0,1
155,"If I use bread, then I can make a sandwich.. If I use a photo album, then I can store my pictures.. Either I will not be able to make a sandwich or I will not be able to store my pictures.",I played jetpack joyride on my mobile phone.,2,0,1
156,"If I use a pencil, then I can write.. If I use a notebook, then I can take notes.. Either I will not be able to write or I will not be able to take notes.",Either I do not use a pencil or I do not use a notebook.,1,0,1
157,"If I use a button, then I can close my shirt.. If I use a screw, then I can hold my furniture together.. Either my shirt will not be closed or my furniture will not be held together.",Either I use a button or I use a screw.,0,1,1
158,"If I use face wash, then I can clean my face.. If I use a sandal, then I can wear it on my feet.. Either my face will not be clean or I will not be able to wear sandals on my feet.",Either I do not use face wash or I do not use a sandal.,1,0,1
159,"If I use a computer, then I can type.. If I use a needle, then I can sew.. Either I will not be able to type or I will not be able to sew.",I do not use a needle.,2,0,1
160,"If I use clothes, then I can wear them.. If I buy a cat, then I can pet it.. Either I will not be able to wear clothes or I will not be able to pet a cat.",Either I do not use clothes or I do not buy a cat.,1,0,1
161,"If I use a towel, then I can dry myself off.. If I use speakers, then I can listen to music.. Either I will not be able to dry myself off or I will not be able to listen to music.",Either I do not use a towel or I use the speakers.,0,1,1
162,"If I use a glass, then I can drink from it.. If I use a pitcher, then I can pour from it.. Either I will not be able to drink from the glass or I will not be able to pour from the pitcher.",Either I do not use a glass or I do not use a pitcher.,1,0,1
163,"If I use an eraser, then I can erase something.. If I use a mop, then I can clean the floor.. Either I will not be able to erase something or I will not be able to clean the floor.",Either I do not use an eraser or I do not use a mop.,1,1,0
164,"If I use a lamp, then I can see in the dark.. If I use a book, then I can read it.. Either I will not be able to see in the dark or I will not be able to read the book.",The lamp had yellow lighting for easy reading.,2,0,1
165,"If I use a wishbone, then I can make a wish.. If I use markers, then I can color.. Either my wish will not come true or I will not be able to color.",Either I do not use a wishbone or I do not use markers.,1,0,1
166,"If I use a remote, then I can change the channel.. If I use batteries, then I can power the remote.. Either I will not be able to change the channel or I will not be able to power the remote.",Either I do not use a remote or I do not use batteries.,1,0,1
167,"If I use a knife, then I can cut something.. If I climb a plane, then I can fly.. Either I will not be able to cut something or I will not be able to fly.",I use a knife.,0,0,0
